year,ID,care,harm,fairness,cheating,authority,subversion,loyalty,betrayal,purity,degradation
1992,D3,0.461641455,0.445457408,0.419863815,0.359738123,0.438944806,0.346331984,0.422652845,0.319113332,0.315020086,0.320531525
1992,R1,0.453734927,0.45198312,0.412245475,0.356755356,0.418720142,0.349838245,0.399486521,0.323926532,0.323290776,0.340169137
1992,R2,0.447909867,0.44095472,0.40800762,0.352676058,0.415350696,0.338502222,0.392041222,0.320337932,0.320711188,0.341341193
1992,R3,0.440122896,0.436264385,0.403380243,0.360035893,0.4104706,0.350762106,0.394128685,0.330332573,0.323929387,0.350511664
1996,D1,0.479178345,0.457581457,0.429397955,0.359764096,0.447076082,0.365760714,0.436143067,0.330236801,0.319889841,0.33053085
1996,D2,0.465725444,0.437781361,0.418404477,0.348526524,0.428443316,0.331189879,0.411038031,0.307432704,0.30594286,0.310945216
1996,R1,0.444491925,0.440620778,0.401327589,0.348385944,0.409303236,0.344137681,0.399576476,0.329039885,0.316296,0.341049532
1996,R2,0.438283472,0.432812857,0.399667158,0.343768879,0.405928481,0.328757632,0.387485463,0.315671964,0.30649053,0.330423465
2000,D1,0.458800164,0.445768429,0.415864546,0.352720519,0.424898838,0.343148066,0.410110991,0.327391073,0.316051701,0.327579361
2000,D2,0.464809764,0.444784514,0.41329973,0.355977902,0.429673017,0.348655944,0.414702979,0.331581229,0.32226271,0.335115438
2000,D3,0.469644443,0.453033026,0.420436236,0.359649497,0.440114274,0.358427455,0.42358641,0.332204242,0.32085618,0.330096515
2000,R1,0.42748515,0.430989324,0.386541613,0.340321861,0.397851685,0.32170582,0.381437188,0.319833817,0.31632406,0.336969163
2000,R2,0.434758465,0.439136076,0.386722329,0.34414621,0.392932305,0.334710539,0.383415776,0.330434747,0.3209858,0.352724512
2000,R3,0.429450964,0.438491818,0.382895487,0.334847732,0.39450022,0.331228371,0.382269144,0.325055069,0.313055137,0.338021764
2004,D1,0.465925692,0.454468708,0.408268585,0.336419532,0.438495311,0.368233867,0.42435041,0.349862798,0.322172021,0.327604219
2004,D2,0.456300292,0.453472511,0.403271851,0.347819991,0.428128397,0.355914272,0.415581759,0.339964027,0.320393824,0.339186138
