"","speaker","date","care.virtue","care.vice","fairness.virtue","fairness.vice","loyalty.virtue","loyalty.vice","authority.virtue","authority.vice","sanctity.virtue","sanctity.vice"
"22","MR. SMITH","September 26, 1960",0,0,0,0,0.602409638554217,0,1.44578313253012,0,0,0
"23","MR. NIXON","September 26, 1960",0.359023456199138,0.0957395883197702,0.143609382479655,0.0239348970799426,0.646242221158449,0,0.526567735758736,0,0.0239348970799426,0.0957395883197702
"24","MR. FLEMING","September 26, 1960",0,0,0,0,0.789473684210526,0,3.42105263157895,0,0,0
"25","MR. KENNEDY","September 26, 1960",0.419161676646707,0.239520958083832,0.0898203592814371,0,0.92814371257485,0,0.988023952095808,0.029940119760479,0,0
"26","MR. NOVINS","September 26, 1960",1.12994350282486,0,0,0,0,0,1.12994350282486,0,0,0
"27","MR. WARREN","September 26, 1960",0,0.3584229390681,0,0,1.0752688172043,0,1.4336917562724,0.3584229390681,0,0
"28","MR. VANOCUR","September 26, 1960",0,0,0,0,0.292397660818713,0,2.63157894736842,0,0,0
"29","VOICE","September 26, 1960",0,0,0,0,0,0,3.03030303030303,0,0,0
"30","MS. WALTERS","October 22, 1976",0,0,0.225733634311512,0,0.338600451467269,0,5.4176072234763,0,0.338600451467269,0
"31","MR. KRAFT","October 22, 1976",0.0916590284142988,0.183318056828598,0,0,1.09990834097159,0,1.83318056828598,0,0.274977085242896,0.0916590284142988
"32","MR. FORD","October 22, 1976",0.399915807198485,0.0841928015154704,0.252578404546411,0,0.820879814775837,0.0210482003788676,0.989265417806778,0.0210482003788676,0.0841928015154704,0
"33","MR. CARTER","October 22, 1976",0.564784053156146,0.0996677740863787,0.332225913621262,0.0498338870431894,1.01328903654485,0.0166112956810631,1.01328903654485,0,0.0664451827242525,0.0664451827242525
"34","MR. MAYNARD","October 22, 1976",0,0.385356454720617,0.385356454720617,0,1.34874759152216,0,2.50481695568401,0,0,0
"35","MR. NELSON","October 22, 1976",0,0,0.65359477124183,0.163398692810458,0.326797385620915,0,3.10457516339869,0,0,0
"36","MR.FORD ","October 22, 1976",0,0,0,0,0.350877192982456,0,1.05263157894737,0,0.350877192982456,0
"37","MS. FREDERICK","October 6, 1976",0.138121546961326,0,0,0,0.276243093922652,0,5.80110497237569,0,0.138121546961326,0
